300.0,3956
300.0,3992
300.0,4027
300.0,4062
300.0,4098
300.0,4133
300.0,4169
300.0,4205
300.0,4240
300.0,4276
300.0,4312
300.0,4348
300.0,4384
300.0,4420
300.0,4456
300.0,4492
300.0,4527
300.0,4563
300.0,4599
300.0,4636
300.0,4672
300.0,4708
300.0,4744
300.0,4780
300.0,4816
300.0,4852
300.0,4888
300.0,4924
300.0,4960
300.0,4996
300.0,5032
300.0,5069
300.0,5105
300.0,5142
300.0,5178
300.0,5214
300.0,5250
300.0,5287
300.0,5328
300.0,5359
300.0,5396
300.0,5432
300.0,5468
300.0,5505
300.0,5542
300.0,5578
300.0,5614
300.0,5651
300.0,5688
300.0,5724
300.0,5760
300.0,5797
300.0,5834
300.0,5871
300.0,5908
300.0,5944
300.0,5981
300.0,6018
300.0,6054
300.0,6091
300.0,6128
300.0,6164
300.0,6201
300.0,6238
300.0,6274
300.0,6311
300.0,6348
300.0,6385
300.0,6422
300.0,6458
300.0,6495
300.0,6532
300.0,6569
300.0,6606
300.0,6643
300.0,6680
300.0,6717
300.0,6754
300.0,6791
300.0,6864
300.0,6901
300.0,6938
300.0,6975
300.0,7012
300.0,7049
300.0,7086
300.0,7123
300.0,7160
300.0,7197
300.0,7234
300.0,7271
300.0,7308
300.0,7345
300.0,7382
300.0,7419
300.0,7456
300.0,7494
300.0,7531
300.0,7568
300.0,7605
300.0,7642
300.0,7678
300.0,7716
300.0,7752
300.0,7790
300.0,7827
300.0,7864
300.0,7901
300.0,7938
300.0,7976
300.0,8013
300.0,8050
300.0,8087
300.0,8124
300.0,8161
300.0,8199
300.0,8236
300.0,8273
300.0,8310
300.0,8347
300.0,8384
300.0,8422
300.0,8459
300.0,8496
300.0,8533
300.0,8570
300.0,8608
300.0,8645
300.0,8682
300.0,8720
300.0,8757
300.0,8794
300.0,8832
300.0,8869
300.0,8906
300.0,8944
300.0,8981
300.0,9024
300.0,9056
300.0,9093
300.0,9130
300.0,9167
300.0,9204
300.0,9242
300.0,9279
300.0,9316
300.0,9353
300.0,9391
300.0,9428
300.0,9466
300.0,9503
300.0,9540
300.0,9578
300.0,9615
300.0,9652
300.0,9690
300.0,9727
300.0,9764
300.0,9801
300.0,9876
300.0,9914
300.0,9951
300.0,9988
300.0,10026
300.0,10063
300.0,10100
300.0,10138
300.0,10175
300.0,10213
300.0,10250
-300.0,10288
-300.0,10323
-300.0,10356
-300.0,10386
-300.0,10414
-300.0,10439
-300.0,10462
-300.0,10482
-300.0,10500
-300.0,10516
-300.0,10530
-300.0,10542
-300.0,10553
-300.0,10561
-300.0,10568
-300.0,10573
-300.0,10576
-300.0,10577
-300.0,10577
-300.0,10576
-300.0,10573
-300.0,10569
-300.0,10564
-300.0,10559
-300.0,10552
-300.0,10545
-300.0,10537
-300.0,10529
-300.0,10520
-300.0,10510
-300.0,10500
-300.0,10488
-300.0,10477
-300.0,10465
-300.0,10452
-300.0,10439
-300.0,10425
-300.0,10410
-300.0,10396
-300.0,10380
-300.0,10364
-300.0,10348
-300.0,10331
-300.0,10314
-300.0,10296
-300.0,10278
-300.0,10260
-300.0,10242
-300.0,10222
-300.0,10203
-300.0,10183
-300.0,10163
-300.0,10142
-300.0,10122
-300.0,10100
-300.0,10079
-300.0,10058
-300.0,10036
-300.0,10014
-300.0,9991
-300.0,9968
-300.0,9945
-300.0,9922
-300.0,9898
-300.0,9874
-300.0,9850
-300.0,9826
-300.0,9776
-300.0,9751
-300.0,9726
-300.0,9700
-300.0,9674
-300.0,9648
-300.0,9622
-300.0,9595
-300.0,9568
-300.0,9542
-300.0,9514
-300.0,9487
-300.0,9460
